condition,fid,cmmd,ssim_mean,ssim_std,matched_images,missing_generated_images,real_dir,generated_dir,conditioning_dir
SD15,24.827377678018593,1.61,0.4028819379925266,0.14756231720995938,1364,7483,/home/ubuntu/BluPRINT/dataset,/home/ubuntu/BluPRINT/C1,/home/ubuntu/BluPRINT/hint_images
Canny,36.150704205250975,1.61,0.16121634958478623,0.10107922361454243,1364,7483,/home/ubuntu/BluPRINT/dataset,/home/ubuntu/BluPRINT/C3,/home/ubuntu/BluPRINT/hint_images
